,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
288,오류1동,0.43211099331786856,0.3251243011189501,-0.3182198598075914,0.0069044413113587,0.7572352944368186,0.1138911335102772,0.4390154346292272,288,0.3689036834571611,-0.8833698235306767,0.11629464245256219,-0.7550898940171663,-0.7704810490124265,-1.5255709430295927,1,1,1.0
295,용답동,-0.17967424329294332,0.7631153157165373,2.570685209087535,3.3338005248040723,0.583441072423594,2.3910109657945915,3.1541262815111293,295,0.3689036834571611,-1.0810904667703425,-1.5090229010248515,-0.9404023279723729,0.34941501679247133,-0.5909873111799016,1,1,1.0
302,원효로2동,-0.4359303958783763,0.5907402108846315,0.19495578194119076,0.7856959928258223,0.15480981500625512,-0.2409746139371856,0.34976559694744586,302,-0.8824176108295296,-0.22430101273179065,0.3717899966115755,-0.38446502610675315,-0.09584486479260856,-0.4803098908993617,1,1,1.0
305,월계3동,1.2366851052710364,0.6302237254283469,1.023120290431516,1.6533440158598631,1.8669088306993835,2.259805395702553,2.8900291211308997,305,0.3689036834571611,0.171140273747541,0.0728822694552875,0.23324308707726876,-0.635553812168463,-0.4023107250911942,1,1,1.0
316,이문2동,-0.3332875205140193,0.6625855584862264,0.3027151310896134,0.9653006895758398,0.32929803797220697,-0.030572389424405925,0.6320131690618205,316,0.3689036834571611,-0.9492767046105653,-0.2850675762210025,-0.8168607053355685,-0.36569933848053576,-1.1825600438161044,1,1,1.0
317,이촌1동,0.4107680151299311,0.8759039958461328,2.456646177587805,3.3325501734339382,1.286672010976064,2.867414192717737,3.743318188563869,317,-0.8824176108295296,-0.3561147748915679,-1.4156828968571211,-0.5080066487435575,0.03908237205135504,-0.46892427669220244,1,1,1.0
318,이촌2동,-1.3056567570368272,0.8310906250160426,2.3059338011564448,3.1370244261724882,-0.4745661320207844,1.0002770441196185,1.8313676691356608,318,-0.8824176108295296,-1.2129042289301197,-1.4717136948564251,-1.311027195882786,-0.6220610884840666,-1.9330882843668524,1,1,1.0
325,일원2동,-0.7437186076412635,0.6881399764298864,1.028646410900666,1.7167863873305524,-0.05557863121137707,0.2849278032594024,0.9730677796892888,325,0.3689036834571611,-1.0810904667703425,-1.1340117084217223,-0.9404023279723729,-0.635553812168463,-1.575956140140836,1,1,1.0
327,자양1동,-0.051897202825686314,0.5518345409596956,0.26528822427582555,0.8171227652355212,0.4999373381340093,0.21339102145013925,0.7652255624098349,327,-0.8824176108295296,-0.8833698235306767,-0.31228013758820566,-1.0021731392907751,-0.31172844374295033,-1.3139015830337255,1,1,1.0
328,자양2동,0.044005784689848365,0.6854382993964697,1.486560847957949,2.171999147354419,0.7294440840863181,1.5305666326477974,2.2160049320442674,328,-0.8824176108295296,-0.8174629424507881,-1.344996841473571,-0.9404023279723729,-0.5815829174308775,-1.5219852454032505,1,1,1.0
